18,5N1BT3BA2PC671293,experimental
24,5N1BT3BA2PC672069,experimental
32,5N1BT3BA4PC671022,experimental
38,5N1BT3BA4PC671845,experimental
40,5N1BT3BA4PC672297,experimental
56,5N1BT3BA6PC671670,experimental
57,5N1BT3BA6PC671748,experimental
59,5N1BT3BA6PC671894,experimental
60,5N1BT3BA6PC672429,experimental
71,5N1BT3BA7PC671662,experimental
82,5N1BT3BA9PC670786,experimental
84,5N1BT3BA9PC671355,experimental
99,5N1BT3BAXPC672305,experimental
